Abounding_with.Depictive,Locative_relation.Direction,Locative_relation.Distance
Active_substance.Effect,Substance.Use
Active_substance.Name,Substance.Constituents
Active_substance.Substance,Substance.Substance
Active_substance.Type,Substance.Type
Activity_abandoned_state.Activity,Activity.Activity,Process_uncompleted_state.Process
Activity_abandoned_state.Agent,Activity.Agent
Activity_abandoned_state.Place,Process_uncompleted_state.Place
Activity_abandoned_state.Time,Process_uncompleted_state.Time
Activity_done_state.Activity,Activity.Activity,Process_completed_state.Process
Activity_done_state.Agent,Activity.Agent,State.Entity
Activity_done_state.Place,Process_completed_state.Place
Activity_done_state.Time,Process_completed_state.Time
Activity.Duration,Process.Duration
Activity_finish.Activity,Activity.Activity,Process_end.Process
Activity_finish.Agent,Activity.Agent,Intentionally_act.Agent
Activity_finish.Degree,Process_end.Degree
Activity_finish.Depictive,Process_end.Depictive
Activity_finish.Manner,Activity.Manner,Intentionally_act.Manner,Process_end.Manner
Activity_finish.Means,Intentionally_act.Means
Activity_finish.Place,Activity.Place,Intentionally_act.Place,Process_end.Place
Activity_finish.Purpose,Intentionally_act.Purpose
Activity_finish.Result,Process_end.Result
Activity_finish.Time,Intentionally_act.Time,Process_end.Time
Activity.Manner,Process.Manner
Activity_ongoing.Activity,Activity.Activity,Process_continue.Event
Activity_ongoing.Agent,Activity.Agent
Activity_ongoing.Depictive,Process_continue.Depictive
Activity_ongoing.Duration,Activity.Duration,Process_continue.Duration
Activity_ongoing.Manner,Activity.Manner,Process_continue.Manner
Activity_ongoing.Place,Activity.Place,Process_continue.Place
Activity_ongoing.Subevent,Process_continue.Next_subevent
Activity_ongoing.Time,Process_continue.Time
Activity_pause.Activity,Activity.Activity,Process_pause.Process
Activity_pause.Agent,Activity.Agent
Activity_pause.Completeness,Process_pause.Degree
Activity_pause.Depictive,Process_pause.Depictive
Activity_paused_state.Activity,Activity.Activity,Process_stopped_state.Process
Activity_paused_state.Agent,Activity.Agent
Activity_paused_state.Duration,Process_stopped_state.Duration
Activity_paused_state.Time,Activity.Time,Process_stopped_state.Time
Activity_pause.Duration,Activity.Duration,Process_pause.Duration
Activity_pause.Manner,Activity.Manner,Process_pause.Manner
Activity_pause.Place,Activity.Place,Process_pause.Place
Activity_pause.Time,Process_pause.Time
Activity.Place,Process.Place
Activity_prepare.Activity,Activity.Activity
Activity_prepare.Agent,Activity.Agent
Activity_prepare.Duration,Activity.Duration
Activity_prepare.Manner,Activity.Manner
Activity_prepare.Place,Activity.Place
Activity_ready_state.Activity,Activity.Activity,Process_initial_state.Process
Activity_ready_state.Duration,Process_initial_state.Duration
Activity_ready_state.Protagonist,Activity.Agent
Activity_ready_state.Time,Process_initial_state.Time
Activity_resume.Activity,Activity.Activity,Process_resume.Process
Activity_resume.Agent,Activity.Agent
Activity_resume.Duration,Activity.Duration,Process_resume.Duration
Activity_resume.Manner,Activity.Manner,Process_resume.Manner
Activity_resume.Place,Activity.Place,Process_resume.Place
Activity_resume.Reason,Process_resume.Reason
Activity_resume.Time,Process_resume.Time
Activity_start.Activity,Activity.Activity,Process_start.Event
Activity_start.Agent,Activity.Agent
Activity_start.Depictive,Process_start.Depictive
Activity_start.Manner,Activity.Manner,Process_start.Manner
Activity_start.Place,Activity.Place,Process_start.Place
Activity_start.Subevent,Process_start.Initial_subevent
Activity_start.Time,Process_start.Time
Activity_stop.Activity,Activity.Activity,Process_stop.Process
Activity_stop.Agent,Activity.Agent
Activity_stop.Degree,Process_stop.Degree
Activity_stop.Depictive,Process_stop.Depictive
Activity_stop.Duration,Activity.Duration,Process_stop.Duration
Activity_stop.Frequency,Process_stop.Frequency
Activity_stop.Manner,Activity.Manner,Process_stop.Manner
Activity_stop.Place,Activity.Place,Process_stop.Place
Activity_stop.Result,Process_stop.Result
Activity_stop.Time,Process_stop.Time
Activity.Time,Process.Time
Addiction.Addict,Gradable_attributes.Entity
Addiction.Degree,Gradable_attributes.Degree
Adjusting.Agent,Intentionally_affect.Agent
Adjusting.Instrument,Intentionally_affect.Instrument
Adjusting.Manner,Intentionally_affect.Manner
Adjusting.Means,Intentionally_affect.Means
Adjusting.Part,Intentionally_affect.Patient
Adjusting.Place,Intentionally_affect.Place
Adjusting.Purpose,Intentionally_affect.Purpose
Adjusting.Time,Intentionally_affect.Time
Adorning.Location,Locative_relation.Ground
Adorning.Theme,Locative_relation.Figure
Adorning.Time,Locative_relation.Time
Aesthetics.Attribute,Gradable_attributes.Attribute
Aesthetics.Circumstances,Desirability.Circumstances,Gradable_attributes.Circumstances
Aesthetics.Degree,Desirability.Degree,Gradable_attributes.Degree
Aesthetics.Entity,Desirability.Evaluee,Gradable_attributes.Entity
Aesthetics.Time,Gradable_attributes.Time
Age.Age,Measurable_attributes.Value
Age.Attribute,Measurable_attributes.Attribute
Age.Circumstances,Measurable_attributes.Circumstances
Age.Degree,Measurable_attributes.Degree
Age.Entity,Measurable_attributes.Entity
Age.Time,Measurable_attributes.Time
Aging.Entity,Eventive_affecting.Entity
Aging.Manner,Eventive_affecting.Manner
Aging.Place,Eventive_affecting.Place
Aging.Time,Eventive_affecting.Time
Agree_or_refuse_to_act.Depictive,Respond_to_proposal.Depictive
Agree_or_refuse_to_act.Interlocutor,Respond_to_proposal.Interlocutor
Agree_or_refuse_to_act.Internal_cause,Respond_to_proposal.Internal_cause
Agree_or_refuse_to_act.Manner,Respond_to_proposal.Manner
Agree_or_refuse_to_act.Means,Respond_to_proposal.Means
Agree_or_refuse_to_act.Medium,Respond_to_proposal.Medium
Agree_or_refuse_to_act.Particular_iteration,Respond_to_proposal.Particular_iteration
Agree_or_refuse_to_act.Place,Respond_to_proposal.Place
Agree_or_refuse_to_act.Proposed_action,Respond_to_proposal.Proposal
Agree_or_refuse_to_act.Purpose,Respond_to_proposal.Purpose
Agree_or_refuse_to_act.Role,Respond_to_proposal.Role
Agree_or_refuse_to_act.Speaker,Respond_to_proposal.Speaker
Agree_or_refuse_to_act.Time,Respond_to_proposal.Time
Agriculture.Agriculturist,Attempt_obtain_food_scenario.Seeker
Agriculture.Degree,Attempt_obtain_food_scenario.Degree
Agriculture.Duration,Attempt_obtain_food_scenario.Duration
Agriculture.Food,Attempt_obtain_food_scenario.Food
Agriculture.Frequency,Attempt_obtain_food_scenario.Frequency
Agriculture.Ground,Attempt_obtain_food_scenario.Ground
Agriculture.Instrument,Attempt_obtain_food_scenario.Instrument
Agriculture.Manner,Attempt_obtain_food_scenario.Manner
Agriculture.Means,Attempt_obtain_food_scenario.Means
Agriculture.Outcome,Attempt_obtain_food_scenario.Outcome
Agriculture.Particular_iteration,Attempt_obtain_food_scenario.Particular_iteration
Agriculture.Place,Attempt_obtain_food_scenario.Place
Agriculture.Purpose,Attempt_obtain_food_scenario.Purpose
Agriculture.Time,Attempt_obtain_food_scenario.Time
Aiming.Agent,Attempt_distant_interaction_scenario.Agent,Manipulation.Agent
Aiming.Depictive,Manipulation.Depictive
Aiming.Duration,Manipulation.Duration
Aiming.Instrument,Attempt_distant_interaction_scenario.Instrument,Manipulation.Bodypart_of_agent,Manipulation.Instrument
Aiming.Manner,Manipulation.Manner
Aiming.Means,Manipulation.Means
Aiming.Outcome,Attempt_distant_interaction_scenario.Outcome
Aiming.Particular_iteration,Attempt_distant_interaction_scenario.Particular_iteration
Aiming.Place,Manipulation.Place
Aiming.Purpose,Manipulation.Purpose
Aiming.Targeted,Attempt_distant_interaction_scenario.Target,Manipulation.Entity
Aiming.Target_location,Attempt_distant_interaction_scenario.Target_location
Aiming.Time,Manipulation.Time
Alignment_image_schema.Alignment_match,Image_schema.Profiled_region
Alignment_image_schema.Ground,Image_schema.Ground
Altered_phase.Subregion,Change_of_phase_scenario.Subregion
Altered_phase.Undergoer,Change_of_phase_scenario.Undergoer
Amalgamation.Part_1,Reciprocality.Protagonist_1
Amalgamation.Part_2,Reciprocality.Protagonist_2
Amalgamation.Parts,Reciprocality.Protagonists
Amassing.Manner,Getting.Manner
Amassing.Mass_theme,Getting.Theme
Amassing.Means,Getting.Means
Amassing.Place,Getting.Place
Amassing.Purpose,Getting.Purpose
Amassing.Reason,Getting.Reason
Amassing.Recipient,Getting.Recipient
Amassing.Result,Getting.Result
Amassing.Source,Getting.Source
Amassing.Time,Getting.Time
Ambient_temperature.Attribute,Temperature.Attribute
Ambient_temperature.Circumstances,Temperature.Circumstances
Ambient_temperature.Degree,Temperature.Degree
Ambient_temperature.Place,Temperature.Entity
Ambient_temperature.Temperature,Temperature.Temperature
Ambient_temperature.Time,Temperature.Time
Ammunition.Ammunition,Artifact.Artifact
Ammunition.Creator,Artifact.Creator
Ammunition.Material,Artifact.Material
Ammunition.Name,Artifact.Name
Ammunition.Time_of_creation,Artifact.Time_of_creation
Ammunition.Type,Artifact.Type
Ammunition.Use,Artifact.Use
Annoyance.Circumstances,Emotions_by_stimulus.Circumstances
Annoyance.Degree,Emotions_by_stimulus.Degree
Annoyance.Empathy_target,Emotions_by_stimulus.Empathy_target
Annoyance.Experiencer,Emotions_by_stimulus.Experiencer
Annoyance.Expressor,Emotions_by_stimulus.Expressor
Annoyance.Manner,Emotions_by_stimulus.Manner
Annoyance.Parameter,Emotions_by_stimulus.Parameter
Annoyance.Reason,Emotions_by_stimulus.Reason
Annoyance.State,Emotions_by_stimulus.State
Annoyance.Stimulus,Emotions_by_stimulus.Stimulus
Annoyance.Time,Emotions_by_stimulus.Time
Annoyance.Topic,Emotions_by_stimulus.Topic
Appearance.Ground,Perception.Phenomenon
Appearance.Perceiver_passive,Perception.Perceiver
Appearance.Phenomenon,Perception.Sought_entity
Apply_heat.Cook,Activity.Agent,Intentionally_affect.Agent
Apply_heat.Degree,Intentionally_affect.Degree
Apply_heat.Duration,Activity.Duration,Intentionally_affect.Event
Apply_heat.Food,Intentionally_affect.Patient
Apply_heat.Heating_instrument,Intentionally_affect.Instrument
Apply_heat.Manner,Activity.Manner,Intentionally_affect.Manner
Apply_heat.Means,Intentionally_affect.Means
Apply_heat.Place,Activity.Place,Intentionally_affect.Place
Apply_heat.Purpose,Intentionally_affect.Purpose,Intentionally_affect.Reason
Apply_heat.Time,Activity.Time,Intentionally_affect.Time
Architectural_part.Descriptor,Shaped_part.Part_Prop
Architectural_part.Orientation,Shaped_part.Orientation
Architectural_part.Part,Shaped_part.Part
Architectural_part.Whole,Shaped_part.Whole
Arithmetic_commutative.Term1,Arithmetic.Term1
Arithmetic_commutative.Term2,Arithmetic.Term2
Arithmetic_non-commutative.Term_1,Arithmetic.Term1
Arithmetic_non-commutative.Term_2,Arithmetic.Term2
Arraignment.Charges,Criminal_process.Charges
Arraignment.Defendant,Criminal_process.Defendant
Arraignment.Duration,Process.Duration
Arraignment.Judge,Criminal_process.Judge
Arraignment.Manner,Process.Manner
Arraignment.Place,Criminal_process.Place,Process.Place
Arraignment.Time,Criminal_process.Time,Process.Time
Arranging.Agent,Intentionally_affect.Agent
Arranging.Instrument,Intentionally_affect.Instrument
Arranging.Location,Intentionally_affect.Place
Arranging.Manner,Intentionally_affect.Manner
Arranging.Means,Intentionally_affect.Means
Arranging.Purpose,Intentionally_affect.Purpose
Arranging.Theme,Intentionally_affect.Patient
Arranging.Time,Intentionally_affect.Time
Arrest.Authorities,Intentionally_affect.Agent
Arrest.Charges,Criminal_process.Charges
Arrest.Manner,Intentionally_affect.Manner
Arrest.Means,Intentionally_affect.Means
Arrest.Offense,Criminal_process.Offense
Arrest.Place,Criminal_process.Place,Intentionally_affect.Place
Arrest.Purpose,Intentionally_affect.Purpose
Arrest.Suspect,Criminal_process.Defendant,Intentionally_affect.Patient
Arrest.Time,Criminal_process.Time,Intentionally_affect.Time
Arriving.Cotheme,Traversing.Cotheme
Arriving.Depictive,Traversing.Depictive
Arriving.Frequency,Eventive_affecting.Frequency
Arriving.Goal,Traversing.Goal
Arriving.Goal_conditions,Traversing.Consecutive
Arriving.Manner,Eventive_affecting.Manner,Traversing.Manner
Arriving.Means,Traversing.Means
Arriving.Mode_of_transportation,Traversing.Vehicle
Arriving.Path,Traversing.Path
Arriving.Place,Eventive_affecting.Place
Arriving.Source,Traversing.Source
Arriving.Theme,Eventive_affecting.Entity,Traversing.Theme
Arriving.Time,Eventive_affecting.Time,Traversing.Time
Arson.Degree,Offenses.Degree
Arson.Offense,Offenses.Offense
Arson.Perpetrator,Offenses.Perpetrator
Arson.Victim,Offenses.Victim
Artifact.Artifact,Entity.Entity
Artifact.Name,Entity.Name
Artifact.Type,Entity.Type
Artificiality.Degree,Gradable_attributes.Degree
Artificiality.Entity,Gradable_attributes.Entity
Assemble.Group,Come_together.Configuration
Assemble.Individuals,Come_together.Individuals
Assemble.Manner,Come_together.Manner
Assemble.Means,Come_together.Means
Assemble.Party_1,Come_together.Party_1
Assemble.Party_2,Come_together.Party_2
Assemble.Place,Come_together.Place
Assemble.Purpose,Come_together.Purpose
Assemble.Time,Come_together.Time
Assessing.Assessor,Cogitation.Cognizer
Assessing.Manner,Cogitation.Manner
Assessing.Means,Cogitation.Means
Assessing.Medium,Cogitation.Medium
Assessing.Phenomenon,Cogitation.Topic
Assistance.Domain,Intentionally_act.Domain
Assistance.Helper,Intentionally_act.Agent
Assistance.Manner,Intentionally_act.Manner
Assistance.Means,Intentionally_act.Means
Assistance.Place,Intentionally_act.Place
Assistance.Purpose,Intentionally_act.Purpose
Assistance.Time,Intentionally_act.Time
Atonement.Agent,Intentionally_act.Agent
Atonement.Amends,Intentionally_act.Means
Atonement.Manner,Intentionally_act.Manner
Atonement.Place,Intentionally_act.Place
Atonement.Purpose,Intentionally_act.Purpose
Atonement.Time,Intentionally_act.Time
Attaching.Agent,Intentionally_affect.Agent
Attaching.Connector,Intentionally_affect.Instrument
Attaching.Degree,Intentionally_affect.Degree
Attaching.Instrument,Intentionally_affect.Instrument
Attaching.Item,Intentionally_affect.Patient
Attaching.Manner,Intentionally_affect.Manner
Attaching.Means,Intentionally_affect.Means
Attaching.Place,Intentionally_affect.Place
Attaching.Purpose,Intentionally_affect.Purpose
Attaching.Time,Intentionally_affect.Time
Attack.Assailant,Intentionally_affect.Agent
Attack.Manner,Intentionally_affect.Manner
Attack.Means,Intentionally_affect.Means
Attack.Place,Intentionally_affect.Place
Attack.Purpose,Intentionally_affect.Purpose
Attack.Reason,Intentionally_affect.Reason
Attack.Time,Intentionally_affect.Time
Attack.Victim,Intentionally_affect.Patient
Attack.Weapon,Intentionally_affect.Instrument
Attempt.Agent,Attempting_scenario.Agent
Attempt_distant_interaction_scenario.Agent,Attempting_scenario.Agent
Attempt_distant_interaction_scenario.Duration,Attempting_scenario.Duration
Attempt_distant_interaction_scenario.Means,Attempting_scenario.Means
Attempt_distant_interaction_scenario.Outcome,Attempting_scenario.Outcome
Attempt_distant_interaction_scenario.Place,Attempting_scenario.Place
Attempt_distant_interaction_scenario.Time,Attempting_scenario.Time
Attempt.Duration,Attempting_scenario.Duration
Attempt.Goal,Attempting_scenario.Goal
Attempt.Means,Attempting_scenario.Means
Attempt_means.Agent,Attempt.Agent
Attempt_means.Circumstances,Attempt.Circumstances
Attempt_means.Degree,Attempt.Degree
Attempt_means.Depictive,Attempt.Depictive
Attempt_means.Domain,Attempt.Domain
Attempt_means.Duration,Attempt.Duration
Attempt_means.Goal,Attempt.Goal
Attempt_means.Manner,Attempt.Manner
Attempt_means.Means,Attempt.Means
Attempt_means.Outcome,Attempt.Outcome
Attempt_means.Particular iteration,Attempt.
Attempt_means.Place,Attempt.Place
Attempt_means.Purpose,Attempt.Purpose
Attempt_means.Time,Attempt.Time
Attempt_obtain_food_scenario.Duration,Attempting_scenario.Duration
Attempt_obtain_food_scenario.Food,Attempting_scenario.Goal
Attempt_obtain_food_scenario.Means,Attempting_scenario.Means
Attempt_obtain_food_scenario.Outcome,Attempting_scenario.Outcome
Attempt_obtain_food_scenario.Place,Attempting_scenario.Place
Attempt_obtain_food_scenario.Seeker,Attempting_scenario.Agent
Attempt_obtain_food_scenario.Time,Attempting_scenario.Time
Attempt_obtain_mineral_scenario.Agent,Attempting_scenario.Agent
Attempt_obtain_mineral_scenario.Duration,Attempting_scenario.Duration
Attempt_obtain_mineral_scenario.Means,Attempting_scenario.Means
Attempt_obtain_mineral_scenario.Outcome,Attempting_scenario.Outcome
Attempt_obtain_mineral_scenario.Place,Attempting_scenario.Place
Attempt_obtain_mineral_scenario.Time,Attempting_scenario.Time
Attempt.Outcome,Attempting_scenario.Outcome
Attempt_suasion.Circumstances,Attempt.Circumstances
Attempt_suasion.Degree,Attempt.Degree
Attempt_suasion.Depictive,Attempt.Depictive
Attempt_suasion.Manner,Attempt.Manner
Attempt_suasion.Means,Attempt.Means
Attempt_suasion.Place,Attempt.Place
Attempt_suasion.Speaker,Attempt.Agent
Attempt_suasion.Time,Attempt.Time
Attention.Perceiver,State.Entity
Avoiding.Agent,Intentionally_act.Agent
Avoiding.Manner,Intentionally_act.Manner
Avoiding.Means,Intentionally_act.Means
Avoiding.Place,Intentionally_act.Place
Avoiding.Purpose,Intentionally_act.Purpose
Avoiding.Time,Intentionally_act.Time
Awareness.Cognizer,Mental_activity.Sentient_entity
Awareness.Content,Mental_activity.Content
Awareness.Degree,Mental_activity.Degree
Awareness.Evidence,Mental_activity.Evidence
Awareness.Expressor,Mental_activity.Expressor
Awareness.Manner,Mental_activity.Manner
Awareness.Paradigm,Mental_activity.Paradigm
Awareness.Role,Mental_activity.Role
Awareness.Time,Mental_activity.Time
Awareness.Topic,Mental_activity.Topic
Bail_decision.Accused,Arraignment.Defendant
Bail_decision.Judge,Arraignment.Judge,Intentionally_act.Agent
Bail_decision.Manner,Arraignment.Manner,Intentionally_act.Manner
Bail_decision.Means,Intentionally_act.Means
Bail_decision.Place,Arraignment.Place,Intentionally_act.Place
Bail_decision.Purpose,Intentionally_act.Purpose
Bail_decision.Time,Arraignment.Time,Intentionally_act.Time
Bearing_arms.Protagonist,State.Entity
Becoming_a_member.Frequency,Intentionally_act.Frequency
Becoming_a_member.Manner,Intentionally_act.Manner
Becoming_a_member.Means,Intentionally_act.Means
Becoming_a_member.New_member,Intentionally_act.Agent
Becoming_a_member.Place,Intentionally_act.Place
Becoming_a_member.Purpose,Intentionally_act.Purpose
Becoming_a_member.Time,Intentionally_act.Time
Becoming_aware.Cognizer,Perception.Perceiver
Becoming_aware.Ground,Perception.Phenomenon
Becoming_aware.Phenomenon,Perception.Sought_entity
Becoming.Duration_of_final_state,Event.Duration
Becoming.Manner,Event.Manner
Becoming.Place,Event.Place
Becoming.Reason,Event.Reason
Becoming.Time,Event.Time
Be_in_agreement_on_assessment.Cognizer_1,Similarity.Entity_1
Be_in_agreement_on_assessment.Cognizer_2,Similarity.Entity_2
Be_in_agreement_on_assessment.Cognizers,Similarity.Entities
Be_in_agreement_on_assessment.Degree,Similarity.Degree
Be_in_agreement_on_assessment.Depictive,Similarity.Depictive
Be_in_agreement_on_assessment.Explanation,Similarity.Cause
Be_in_agreement_on_assessment.Manner,Similarity.Manner
Be_in_agreement_on_assessment.Place,Similarity.Place
Be_in_agreement_on_assessment.Question,Similarity.Dimension
Be_in_agreement_on_assessment.Time,Similarity.Time
Be_in_control.Controlling_entity,Control.Controlling_entity
Be_in_control.Degree,Control.Degree
Be_in_control.Dependent_entity,Control.Dependent_entity
Be_in_control.Dependent_situation,Control.Dependent_situation
Be_in_control.Dependent_variable,Control.Dependent_variable
Be_in_control.Manner,Control.Manner
Be_in_control.Place,Control.Place
Be_in_control.Time,Control.Time
Being_active.Activity,Gradable_attributes.Entity
Being_active.Degree,Gradable_attributes.Degree
Being_active.Time,Gradable_attributes.Time
Being_at_risk.Asset,Gradable_attributes.Entity
Being_at_risk.Degree,Gradable_attributes.Degree
Being_at_risk.Time,Gradable_attributes.Time
Being_attached.Goal,Reciprocality.Protagonist_2
Being_attached.Item,Reciprocality.Protagonist_1,State.Entity
Being_attached.Items,Reciprocality.Protagonists
Being_awake.Protagonist,Sleep_wake_cycle.Sleeper
Being_born.Child,Coming_to_be.Entity,Cycle_of_life_and_death.Protagonist
Being_born.Place,Coming_to_be.Place
Being_born.Time,Coming_to_be.Time
Being_dry.Degree,Gradable_attributes.Degree
Being_dry.Item,Gradable_attributes.Entity
Being_employed.Compensation,Employee's_scenario.Compensation
Being_employed.Duration,Employee's_scenario.Duration
Being_employed.Employee,Employee's_scenario.Employee
Being_employed.Employer,Employee's_scenario.Employer
Being_employed.Field,Employee's_scenario.Field
Being_employed.Position,Employee's_scenario.Position
Being_employed.Task,Employee's_scenario.Task
Being_in_operation.Device,State.Entity
Being_located.Theme,State.Entity
Being_named.Entity,Simple_name.Entity
Being_named.Name,Simple_name.Term
Being_named.Speaker,Simple_name.Speaker
Being_operational.Artifact,Capability.Entity
Being_operational.Degree,Capability.Degree
Being_rotted.Degree,Gradable_attributes.Degree
Being_rotted.Undergoer,Gradable_attributes.Entity
Being_up_to_it.Activity,Capability.Event
Being_up_to_it.Cause,Capability.Cause
Being_up_to_it.Circumstances,Capability.Circumstances
Being_up_to_it.Degree,Capability.Degree
Being_up_to_it.Entity,Capability.Entity
Being_up_to_it.Relevant_feature,Capability.Relevant_feature
Being_wet.Degree,Gradable_attributes.Degree
Being_wet.Item,Gradable_attributes.Entity
Besieging.Assailant,Attack.Assailant
Besieging.Manner,Attack.Manner
Besieging.Means,Attack.Means
Besieging.Place,Attack.Place
Besieging.Purpose,Attack.Purpose
Besieging.Source,Attack.Source
Besieging.Time,Attack.Time
Besieging.Victim,Attack.Victim
Besieging.Weapon,Attack.Weapon
Be_subset_of.Part,Being_included.Part
Be_subset_of.Total,Being_included.Whole
Biological_area.Constituent_parts,Locale.Constituent_parts
Biological_area.Container_possessor,Locale.Container_possessor
Biological_area.Descriptor,Locale.Descriptor
Biological_area.Formational_cause,Locale.Formational_cause
Biological_area.Locale,Locale.Locale
Biological_area.Name,Locale.Name
Biological_area.Relative_location,Locale.Relative_location
Biological_urge.Degree,Gradable_attributes.Degree
Biological_urge.Experiencer,Gradable_attributes.Entity
Biological_urge.Time,Gradable_attributes.Time
Birth.Manner,Event.Manner
Birth.Place,Event.Place
Birth.Time,Event.Time
Body_decoration.Decoration,Artifact.Artifact
Body_decoration.Type,Artifact.Type
Body_decoration.Use,Artifact.Use
Body_description_holistic.Degree,Gradable_attributes.Degree
Body_description_holistic.Individual,Gradable_attributes.Entity
Body_description_part.Degree,Gradable_attributes.Degree
Body_description_part.Individual,Gradable_attributes.Entity
Body_mark.Body_mark,Physical_entity.Entity
Body_mark.Cause,Physical_entity.Formational_cause
Body_mark.Constituents,Physical_entity.Constituents
Body_mark.Type,Physical_entity.Type
Bounded_entity.Bounded_area,Physical_entity.Entity
Bounded_entity.Constituent_parts,Physical_entity.Constituents
Bounded_entity.Formational_cause,Physical_entity.Formational_cause
Bounded_entity.Name,Physical_entity.Name
Bounded_entity.Relative_location,Physical_entity.Place
Bounded_entity.Type,Physical_entity.Type
Bounded_region.Ground,Image_schema.Ground
Bounded_region.Interior,Image_schema.Profiled_region
Bragging.Addressee,Judgment_communication.Addressee
Bragging.Depictive,Judgment_communication.Depictive
Bragging.Expressor,Judgment_communication.Expressor
Bragging.Manner,Judgment_communication.Manner
Bragging.Means,Judgment_communication.Means
Bragging.Medium,Judgment_communication.Medium
Bragging.Place,Judgment_communication.Place
Bragging.Reason,Judgment_communication.Reason
Bragging.Role,Judgment_communication.Role
Bragging.Speaker,Judgment_communication.Communicator,Judgment_communication.Evaluee
Bragging.Time,Judgment_communication.Time
Bragging.Topic,Judgment_communication.Topic
Building.Agent,Intentionally_create.Creator
Building.Components,Intentionally_create.Components
Building.Created_entity,Intentionally_create.Created_entity
Building.Depictive,Intentionally_create.Depictive
Building.Instrument,Intentionally_create.Instrument
Building.Manner,Intentionally_create.Manner
Building.Means,Intentionally_create.Means
Building.Place,Intentionally_create.Place
Building.Purpose,Intentionally_create.Purpose
Buildings.Builder,Artifact.Creator
Buildings.Building,Artifact.Artifact
Buildings.Function,Artifact.Use
Buildings.Material,Artifact.Material
Buildings.Name,Artifact.Name
Buildings.Time_of_creation,Artifact.Time_of_creation
Buildings.Type,Artifact.Type
Building_subparts.Whole,Buildings.Building
Building.Time,Intentionally_create.Time
Calendric_unit.Name,Location_in_time.Name
Calendric_unit.Relative_time,Location_in_time.Relative_time
Calendric_unit.Salient_event,Location_in_time.Salient_event
Calendric_unit.Unit,Location_in_time.Unit
Calendric_unit.Whole,Location_in_time.Whole
Capability.Cause,Possibility.Cause
Capability.Circumstances,Gradable_attributes.Circumstances,Possibility.Circumstances
Capability.Degree,Gradable_attributes.Degree
Capability.Entity,Gradable_attributes.Entity
Capability.Event,Possibility.Possible_event
Capacity.Cause,Capability.Cause
Capacity.Circumstances,Capability.Circumstances
Capacity.Degree,Capability.Degree
Capacity.Entity,Capability.Entity
Capacity.Status,Capability.Status
Causation.Affected,Eventive_affecting.Entity
Causation.Cause,Causation_scenario.Cause,Eventive_affecting.Event
Causation.Effect,Causation_scenario.Effect
Causation.Manner,Eventive_affecting.Manner
Causation.Place,Eventive_affecting.Place
Causation.Reason,Eventive_affecting.Reason
Causation.Time,Eventive_affecting.Time
Cause_bodily_experience.Agent,Transitive_action.Agent
Cause_bodily_experience.Cause,Transitive_action.Cause
Cause_bodily_experience.Depictive,Transitive_action.Depictive
Cause_bodily_experience.Experiencer,Transitive_action.Patient
Cause_bodily_experience.Manner,Transitive_action.Manner
Cause_bodily_experience.Means,Transitive_action.Means
Cause_bodily_experience.Place,Transitive_action.Place
Cause_bodily_experience.Result,Transitive_action.Result
Cause_bodily_experience.Time,Transitive_action.Time
Cause_change.Agent,Transitive_action.Agent
Cause_change.Cause,Transitive_action.Cause
Cause_change.Entity,Transitive_action.Patient
Cause_change.Manner,Transitive_action.Manner
Cause_change.Means,Transitive_action.Means
